Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,32.73,Invalid
TST-0006,19.07,Valid
TST-0047,57.65,Valid
TST-0311,25.76,Valid
TST-0264,20.91,Invalid
TST-0169,20.26,Valid
TST-0269,18.43,Valid
TST-0178,14.86,Invalid
TST-0206,31.22,Valid
TST-0038,18.2,Valid
TST-0213,13.59,Invalid
TST-0309,16.35,Valid
TST-0059,33.37,Valid
TST-0159,18.53,Valid
TST-0235,19.73,Valid
TST-0230,20.96,Valid
TST-0323,35.55,Valid
TST-0262,18.75,Valid
TST-0274,13.61,Valid
TST-0214,48.56,Valid
TST-0024,40.08,Valid
TST-0234,17.68,Valid
TST-0333,21.9,Valid
TST-0060,20.26,Valid
TST-0226,36.48,Valid
TST-0197,16.25,Valid
TST-0346,41.35,Valid
TST-0192,25.4,Valid
TST-0141,29.61,Valid
TST-0222,38.7,Invalid
TST-0232,19.61,Valid
TST-0085,23.64,Valid
TST-0237,33.15,Valid
TST-0001,36.37,Valid
TST-0069,16.34,Valid
TST-0272,22.81,Valid
TST-0343,34.2,Valid
TST-0320,26.57,Valid
TST-0008,30.43,Invalid
TST-0144,22.73,Valid
TST-0184,22.14,Valid
TST-0107,56.11,Valid
TST-0026,41.66,Valid
TST-0164,43.3,Valid
TST-0217,32.9,Valid
TST-0332,28.24,Valid
TST-0279,24.26,Valid
TST-0243,18.36,Valid
TST-0163,20.48,Valid
TST-0131,29.47,Valid
TST-0070,16.45,Valid
TST-0137,18.72,Valid
TST-0210,30.15,Valid
TST-0288,21.05,Valid
TST-0248,18.08,Valid
TST-0277,22.64,Invalid
TST-0215,21.67,Valid
TST-0138,16.22,Valid
TST-0228,17.68,Valid
TST-0252,49.02,Valid
TST-0205,29.78,Valid
TST-0348,22.68,Valid
TST-0177,22.71,Valid
TST-0267,38.6,Valid
TST-0308,22.98,Valid
TST-0087,42.77,Valid
TST-0117,16.84,Valid
TST-0014,17.95,Valid
TST-0154,24.58,Valid
TST-0207,47.63,Valid
TST-0187,22.13,Valid
TST-0236,21.12,Valid
TST-0283,38.48,Valid
TST-0089,18.23,Valid
TST-0202,23.29,Valid
TST-0160,18.54,Valid
TST-0036,25.88,Valid
TST-0275,48.52,Valid
TST-0023,34.19,Valid
TST-0091,43.21,Valid
TST-0151,43.71,Valid
TST-0310,22.53,Valid
TST-0239,15.01,Valid
TST-0331,33.07,Valid
TST-0316,13.22,Invalid
TST-0338,14.38,Valid
TST-0019,20.02,Valid
TST-0168,13.5,Invalid
TST-0007,18.43,Valid
TST-0211,32.54,Valid
TST-0016,36.78,Valid
TST-0027,19.17,Valid
TST-0031,16.19,Invalid
TST-0249,28.49,Valid
TST-0011,16.14,Valid
TST-0080,23.0,Invalid
TST-0121,16.46,Valid
TST-0266,19.35,Valid
TST-0198,21.83,Valid
TST-0067,30.76,Valid
TST-0102,21.51,Valid
TST-0005,37.31,Valid
TST-0003,30.59,Valid
TST-0132,44.85,Valid
TST-0029,26.81,Valid
TST-0221,28.44,Valid
TST-0099,17.67,Valid
TST-0062,17.34,Valid
TST-0095,27.26,Valid
